,0,1,2,3,4,5,6,7,8,9
0,6.677671705857018,2.996603884577446,9.945127574379955,5.104349588129146,10.024207192401448,6.085016556997482,11.336854738210356,,,
1,3.096182423149565,5.298503177299426,6.388318227875568,5.746664531952564,4.7644035877669895,5.863361931549528,4.998642262420587,5.384747917871737,,
2,11.162936256668308,12.652733479212616,14.28383876056705,16.447285279004667,17.765232515664508,19.968757084982357,21.007852340448025,,,
3,4.489602865913604,6.977339843558067,9.051613606281617,9.044002203484842,7.399154374510653,7.686044439442686,5.074868531954024,5.153935949239794,,
4,6.8493639262665384,2.7880259801906915,2.541511503319922,2.976823759913157,2.895651008437231,6.667011078720156,6.7461835151673055,,,
5,3.12443974202423,0.6058977132465977,4.451489681197379,3.098408578702551,4.151909230803596,3.648108876145975,5.031259252095676,,,
6,10.114417754617197,12.229147856118432,14.363475330981137,16.192010402000268,19.22509929270389,20.736186891124934,22.397066899897844,,,
7,20.736186891124934,22.397066899897844,3.555183096892387,0.04208787859253768,3.2053432581128165,5.328495379435431,,,,
8,3.369291193685708,6.438485950646167,3.395877936128775,5.323610605269324,4.047924117620148,5.814474022153816,3.676788086091567,,,
9,-0.545138684680165,-0.5013138473302976,-0.03499959110692053,-0.09277412852469098,-0.2897810168968597,0.15461401039472514,0.1432088445592403,-0.8702283218908113,,
10,0.20928193096596925,-0.00435701191188599,0.9058844156669558,1.564459282925519,-2.4292931658664396,3.419674402061752,0.09518711433474177,2.064260461712656,,
11,6.052339596160424,5.711005851316551,7.189419252362306,5.163748889222882,3.2355810741723223,8.72086921281507,,,,
12,4.844028571851256,1.0440731884289232,1.7507056518419517,4.054277433089234,5.860696035734911,-0.33163605172085503,5.772864790552249,5.802970820477393,,
13,3.308799505995915,5.9457452897952585,7.5224874472984995,8.19539347081964,8.7128397692573,5.882883990433697,4.889149674291219,7.217161870653484,,
14,3.6623017850409845,7.422492931881727,6.557549796615022,9.716535514562413,8.863170239563111,8.372903463686526,7.5029780265820945,8.589451762797585,,
15,2.448563083594366,3.298036862835433,2.066816972039117,5.372563808351821,4.613904077980823,2.963335154071761,4.5678079670210465,4.3151168714271595,,
16,7.161813034609792,11.005828518910878,11.02170744305556,10.889060291504874,10.485116033024873,,,,,
17,0.6657167936009826,-0.35669846778777936,-0.5151286861158829,0.5338931921533279,2.48905488510438,1.1544171581111282,-0.7547068424231728,1.0805616099873026,,
18,5.9689772696444345,4.188330232923829,5.91433369202888,4.949851650980597,5.419819216594264,5.545157321589272,6.236608710703373,6.825896038361442,,
19,10.111284969722655,10.087088573930664,12.398032188439037,8.759853060638095,8.585749495215346,12.07293798660098,12.888971043954925,13.327284040109031,,
20,6.903592676880716,10.169556544182116,10.576328835307121,12.926183298450608,13.178551613174719,16.78492761606455,11.82742417599122,,,
21,8.270816992718927,9.4767802911514,8.16388248080623,11.40658165257556,9.00972828350291,13.901046968278955,11.76987422405843,,,
22,1.1843571470313998,5.597259064664616,5.321669126686483,4.016509822370185,6.2113220033990295,6.55161777932733,3.757655780922463,5.5142298999805375,,
23,3.597678822052992,5.811858904613534,5.632792906405943,6.701878274281807,7.09513113766721,5.281987925363754,2.914414762982787,3.688214442327725,,
24,6.06287955704672,11.23873478899402,5.307281264267512,15.3215177670838,6.243549721885042,19.546476222335,10.622119251486652,,,
25,3.9154628555444093,5.551330179309952,8.330456798903,7.607632275247219,12.444065978082804,10.190546789348646,10.701234134442451,7.402879536157477,10.620760802318184,13.836579173124841
26,7.588194089593409,5.018844852349188,7.236426678031589,4.513273463138059,9.249030727756843,4.091920786637171,2.9293817563213014,10.760841725710454,6.229659377092345,3.38470494741378
27,8.408212878320679,4.932475670441718,10.653193511266458,7.80342945569539,14.59235873517886,11.321544777856042,18.82835193752929,13.429961356069285,,
28,5.397259916284153,11.064819925401098,7.962378008373507,15.05688933829467,10.143395899250248,19.24023598143425,5.29125656455417,22.153891853815576,,
